"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1971172634819014800","Thu Sep 25 11:19:13 +0000 2025","0","Purbaya Diminta Tegas Tunda 2 Program Pemerintah yang Bebani Fiskal https://t.co/m33mkiBaca via @InvestorID","1971172634819014800","","","in","","0","0","0","https://x.com/undefined/status/1971172634819014800","238091066",
"1971172013797671251","Thu Sep 25 11:16:45 +0000 2025","0","Rupiah Tumbang Buntut Keputusan Purbaya Tolak Tax Amnesty https://t.co/IKH6JR13sK via @InvestorID","1971172013797671251","","","in","","0","0","0","https://x.com/undefined/status/1971172013797671251","238091066",
"1971023289364730149","Thu Sep 25 11:13:28 +0000 2025","2","@puzzwles Kalo yang ngmong pak Purbaya kayanya gua bisa percaya duit pajak nya msuk k negara tapi berhubung yg ngmong nya si jajaran iblis mana bisaaa d percaya","1971171189549826477","","puzzwles","in","","0","0","0","https://x.com/undefined/status/1971171189549826477","1562075640123121667",
"1971170432771555623","Thu Sep 25 11:10:28 +0000 2025","1","DILEMA CUKAI ROKOK DI ERA PURBAYA Kenaikan cukai rokok adalah isu sensitif yang selalu menjadi dilema. Di satu sisi cukai adalah instrumen ampuh untuk mengendalikan konsumsi rokok dan menjadi sumber pendapatan negara yang signifikan. Di sisi lain kenaikan ini berpotensi memukul https://t.co/mcsy4iPiDl","1971170432771555623","https://pbs.twimg.com/media/G1sBDXrbwAAaHkp.jpg","","in","","0","0","0","https://x.com/undefined/status/1971170432771555623","502140136",
"1971169374750072959","Thu Sep 25 11:06:16 +0000 2025","0","Menkeu Purbaya siapkan quick win perbaikan Coretax dengan pakar IT asing untuk tingkatkan penerimaan negara dan kepatuhan pajak. https://t.co/vD35BMY0Mq #teknologi #tech","1971169374750072959","","","in","","0","0","0","https://x.com/undefined/status/1971169374750072959","1473964599955181571",
"1971152699795308772","Thu Sep 25 11:03:49 +0000 2025","3","@ARSIPAJA Monggo pak Purbaya segera dibereskan faktor-faktor perusak ekonomi negara itu","1971168761135992843","","ARSIPAJA","in","","0","0","0","https://x.com/undefined/status/1971168761135992843","1835668063133589504",
"1971168505295945933","Thu Sep 25 11:02:48 +0000 2025","2","Defisit APBN Nol Persen Jadi Target Menkeu Purbaya: Kita Sedang Menuju Arah Itu https://t.co/8QbPqp2D7E lewat @Keuangan News https://t.co/4awFVIdNWY","1971168505295945933","https://pbs.twimg.com/media/G1r_TypbkAAumvK.jpg","","in","","0","0","1","https://x.com/undefined/status/1971168505295945933","1226436091617505281",
"1971167808940843308","Thu Sep 25 11:00:02 +0000 2025","0","Menteri Keuangan Purbaya Yudhi Sadewa menegaskan bahwa pengelolaan anggaran termasuk kebijakan utang harus dilakukan secara countercylical dan bijak yang disesuaikan dengan kondisi perekonomian. #detikfinance #Menkeu #Utang #Ekonomi https://t.co/ZlmLt4ReUK","1971167808940843308","https://pbs.twimg.com/amplify_video_thumb/1971089684932775936/img/YgQJl0j7ZFnKyJDM.jpg","","in","","0","1","0","https://x.com/undefined/status/1971167808940843308","135795460",
"1971167804503228689","Thu Sep 25 11:00:01 +0000 2025","0","Ini Jurus Menkeu Purbaya Dongkrak Penerimaan Negara Tanpa Harus Ngutang - https://t.co/5myVvVkHMM https://t.co/NUCnuf0d1n","1971167804503228689","https://pbs.twimg.com/media/G1r-q-4aMAAfUqU.jpg","","in","","0","0","0","https://x.com/undefined/status/1971167804503228689","949224511508955136",
"1971165664321863931","Thu Sep 25 10:51:31 +0000 2025","0","Selamatkan Uang Negara Ratusan Triliun Menkeu 'Koboi' Purbaya Ditantang Tarik Duit BLBI di BCA https://t.co/HqU0712g0i","1971165664321863931","","","in","","0","0","0","https://x.com/undefined/status/1971165664321863931","1712461591910989824",
"1971039617119060092","Thu Sep 25 10:49:58 +0000 2025","2","@kiyandream @ransunnyrain emg mereka itu kumpulan orang tamak bin munafiqun pantes dipimpin purbaya ","1971165273647612237","","kiyandream","in","","0","0","0","https://x.com/undefined/status/1971165273647612237","1376016210580496385",
"1970843443716083732","Thu Sep 25 10:47:43 +0000 2025","0","@Novitayulianaaa ngga ada ketentuan jurusan ? teknik elektro bisa kali ya? ngikutin jejak menteri purbaya","1971164706535768073","","Novitayulianaaa","in","","0","1","0","https://x.com/undefined/status/1971164706535768073","1809468761264779267",
"1971089639844003946","Thu Sep 25 10:38:46 +0000 2025","1","@syukrist @GNFI Berdasarkan informasi terkini Menteri Keuangan Purbaya Yudhi Sadewa menyebut ada 200 penunggak pajak besar dengan tunggakan Rp 50-60 triliun tapi daftar nama spesifiknya belum dirilis secara publik oleh pemerintah. Mereka adalah wajib pajak dengan kasus inkrah yang akan ditagih","1971162454471381351","","syukrist","in","","0","0","0","https://x.com/undefined/status/1971162454471381351","1720665183188922368",
"1971154409276178680","Thu Sep 25 10:06:48 +0000 2025","2","Purbaya Janji Kumpulkan Pengusaha Rokok Minggu Ini https://t.co/W0YyLtXcyO","1971154409276178680","","","in","","0","0","0","https://x.com/undefined/status/1971154409276178680","847372542830444544",
